RA vs C ,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA,,RA vs C,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA
ADGRA2,ADGRA2,ADGRA2,ADGRA2,ADGRA2,,0.119383254,-0.935563131,0.334955641,-0.799597093,-1.729580264
ADGRA3,ADGRA3,ADGRA3,ADGRA3,ADGRA3,,-0.786730237,-0.094839459,0.012478749,-1.355279078,-0.747021392
ADGRB1,ADGRB1,ADGRB1,ADGRB1,ADGRB1,,-0.810744051,-0.04053269,-0.126551224,-1.090268443,-0.734391403
ADGRE1,ADGRE1,ADGRE1,ADGRE1,ADGRE1,,1.760929283,-0.203043442,-0.259175175,2.961990469,2.035954483
ADGRE2,ADGRE2,ADGRE2,ADGRE2,ADGRE2,,1.573916073,0.094683156,-0.055834313,2.677216604,1.750684858
ADGRE4P,ADGRE4P,ADGRE4P,ADGRE4P,ADGRE4P,,0.96265775,0.014063347,0.096667897,1.947831717,1.070860098
ADGRE5,ADGRE5,ADGRE5,ADGRE5,ADGRE5,,0.823075278,0.169669591,0.00332881,1.349122016,0.944880131
ADGRF3,ADGRF3,ADGRF3,ADGRF3,ADGRF3,,1.382417659,1.234361871,1.265414707,0.552877804,0.28106698
ADGRG2,ADGRG2,ADGRG2,ADGRG2,ADGRG2,,-0.202544841,-0.783560037,0.362970017,-0.582498971,0.335514764
ADGRG3,ADGRG3,ADGRG3,ADGRG3,ADGRG3,,5.719166758,-0.459125087,-0.076396812,6.63605191,5.808723504
ADGRG5,ADGRG5,ADGRG5,ADGRG5,ADGRG5,,2.106661266,0.177297707,0.081520522,2.324088324,2.036604199
ADGRL1,ADGRL1,ADGRL1,ADGRL1,ADGRL1,,-0.396761967,-0.018222206,0.107237067,-0.815627938,-0.460661927
ADGRL2,ADGRL2,ADGRL2,ADGRL2,ADGRL2,,-0.202544841,0.257081947,0.083994067,0.380975153,-0.359974194
ADH5,ADH5,ADH5,ADH5,ADH5,,-0.205845449,-0.094976647,-0.033188255,-0.336111,-0.22529218
